__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN44425114	SRR31107404	ILLUMINA	NextSeq 500	PRJNA918317	Candidozyma auris	WGS	PAIRED	2024-10-24T14:22:00.000Z	2023	South Asian					USA	North America	Northeast	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44293767	SRR31001812	ILLUMINA	Illumina MiSeq	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-10-15T13:01:00.000Z	2024-09				MN-MNPHL-CAU-240248		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN44513386	SRR31174774	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-30T17:08:00.000Z	2023-03				MD-MDH-CAU-2300368		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMN46721270	SRR32266226	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T11:36:00.000Z	2024-05				MD-MDH-CAU-2400883		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN43817396	SRR30844148	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T17:56:00.000Z	2024			Fungal infection	2024CE_09_18_131		USA	North America		clinical	Homo sapiens	3	human
SAMN46720536	SRR32265648	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T09:33:00.000Z	2024-06				MD-MDH-CAU-2400828		USA	North America	Mid-Atlantic	urine	Homo sapiens	3	human
SAMN44245321	SRR30946205	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:52:00.000Z	2024			Fungal infection	2024CE_09_19_643		USA	North America		clinical	Homo sapiens	3	human
SAMN44245355	SRR30946253	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:53:00.000Z	2024			Fungal infection	2024CE_09_19_609		USA	North America		clinical	Homo sapiens	3	human
SAMN46345793	SRR32062620	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2025-01-21T11:03:00.000Z	2024-12						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN43513306	SRR30558140	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-05T16:30:00.000Z	2024-08						USA	North America	Midwest	catheter	Homo sapiens	3	human
