__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN44246086	SRR30946901	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T20:03:00.000Z	2024			Fungal infection	2024CE_09_19_873		USA	North America		clinical	Homo sapiens	3	human
SAMN44524288	SRR31185184	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-31T17:21:00.000Z	2023-04				MD-MDH-CAU-2400019		USA	North America	Mid-Atlantic	tracheal aspirate	Homo sapiens	3	human
SAMN50274239	SRR34768539	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-07-29T20:36:00.000Z	2025			Fungal infection	2025CE-CAURIS_07_29_012		USA	North America		clinical	Homo sapiens	3	human
SAMN47415275	SRR32735456	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-03-17T11:02:00.000Z	2025						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44625218	SRR31272054	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-11-07T14:48:00.000Z	2024-10						USA	North America	Midwest	wound	Homo sapiens	3	human
SAMN49444678	SRR34036529	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:53:00.000Z	2023				NV-WW-CAU-0324C34W		USA	North America	NV	environmental (wastewater)			
SAMN44998094	SRR31456532	CAPILLARY	AB 3730 Genetic Analyzer	PRJNA1189548	Candidozyma auris	AMPLICON	SINGLE	2024-11-22T14:49:00.000Z	2017						USA	North America	Bronx	PCR product	Homo sapiens	3	human
SAMN44476146	SRR31141370	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-10-28T16:26:00.000Z	2024-08						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48265043	SRR33388600	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:46:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_017		USA	North America		clinical	Homo sapiens	3	human
SAMN47201854	SRR32557681	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2025-03-03T14:03:00.000Z	2025-02						USA	North America	Midwest	As reported: fungal isolate, other	Homo sapiens	3	human
SAMN48984721	SRR33913280	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-06-10T14:07:00.000Z	2025				UT-UPHL-CAU-3307		USA	North America	Mountain		Homo sapiens	3	human
SAMN48288208	SRR33405812	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:08:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_230		USA	North America		clinical	Homo sapiens	3	human
SAMN48209744	SRR33381040	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_172		USA	North America		clinical	Homo sapiens	3	human
SAMN41475842	SRR29098619	ILLUMINA	Illumina MiSeq	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-05-21T14:11:00.000Z	2024-03						USA	North America	Midwest	foot	Homo sapiens	3	human
SAMN41744761	SRR29319204	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-06-07T12:23:00.000Z	2023-03						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN44513393	SRR31174766	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-30T17:08:00.000Z	2023-03				MD-MDH-CAU-2300375		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN45036415	SRR31488789	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-11-25T12:34:00.000Z	2024				UT-UPHL-CAU-2550		USA	North America	Mountain		Homo sapiens	3	human
SAMN49881673	SRR34446433	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-07-09T13:34:00.000Z	2025						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN46363224	SRR32076930	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T10:45:00.000Z	2023-10				MD-MDH-CAU-2400260		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN48931663	SRR33858639	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:18:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN48349666	SRR33439104	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-05T18:24:00.000Z	2025			Fungal infection	2025CE-CAURIS_05_05_024		USA	North America		clinical	Homo sapiens	3	human
SAMN43584817	SRR30636990	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T14:27:00.000Z	2024				UT-UPHL-CAU-2227		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN44244901	SRR30945905	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:06:00.000Z	2024			Fungal infection	2024CE_09_19_550		USA	North America		clinical	Homo sapiens	3	human
SAMN48441292	SRR33531304	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2023-03						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN43586031	SRR30637915	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T16:25:00.000Z	2024				UT-UPHL-CAU-2318		USA	North America	Mountain		Homo sapiens	3	human
SAMN46473585	SRR32166925	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-29T11:48:00.000Z	2023-11				MD-MDH-CAU-2400472		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMEA117586186	ERR14122519	ILLUMINA	Illumina HiSeq 4000	PRJEB84203	Candidozyma auris	WGS	PAIRED	2025-02-13T02:02:00.000Z	2019						SAU	Asia		blood (C&S)	Homo sapiens	3	human
SAMN48410960	SRR33502098	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:55:00.000Z	2023-08						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48850592	SRR33808838	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:27:00.000Z	2025-02						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN47133261	SRR32516133	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T15:46:00.000Z	2024-12				MD-MDH-CAU-2500069		USA	North America	Mid-Atlantic	urine	Homo sapiens	3	human
SAMN45036413	SRR31488791	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-11-25T12:34:00.000Z	2024				UT-UPHL-CAU-2549		USA	North America	Mountain		Homo sapiens	3	human
SAMN44998091	SRR31456535	CAPILLARY	AB 3730 Genetic Analyzer	PRJNA1189548	Candidozyma auris	AMPLICON	SINGLE	2024-11-22T14:49:00.000Z	2021						USA	North America	Bronx	PCR product	Homo sapiens	3	human
SAMN49444975	SRR34036263	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:50:00.000Z	2023				NV-WW-CAU-0124B22W		USA	North America	NV	environmental (wastewater)			
SAMN48455304	SRR33546000	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-05-13T13:22:00.000Z	2025						USA	North America	Mountain	bronchial wash	Homo sapiens	3	human
SAMN48850603	SRR33808826	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:25:00.000Z	2025-03						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN45060494	SRR31514478	ILLUMINA	Illumina MiSeq	PRJNA1167312	Candidozyma auris	WGS	PAIRED	2024-11-26T10:16:00.000Z	2024				TN-SPHL-CAU-S0123		USA	North America	Southeast	urine	Homo sapiens	3	human
SAMN43830114	SRR30847372	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T21:28:00.000Z	2024			Fungal infection	2024CE_09_19_150		USA	North America		clinical	Homo sapiens	3	human
SAMN45233166	SRR31649328	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-12-09T15:10:00.000Z	2024						USA	North America	Mountain	synovial fluid	Homo sapiens	3	human
SAMN37277137	SRR25905768	ILLUMINA	Illumina NovaSeq 6000	PRJNA1012821	Candidozyma auris	WGS	PAIRED	2023-09-05T07:05:00.000Z	2008			Ear infection	A2				restricted access	ear discharge	Homo sapiens	3	human
SAMN48209719	SRR33381087	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_197		USA	North America		clinical	Homo sapiens	3	human
SAMN44627672	SRR31277141	ILLUMINA	NextSeq 1000	PRJNA850520	Candidozyma auris	WGS	PAIRED	2024-11-07T20:13:00.000Z	2024		Clade3		LACPHL-CAUR-2024-00015		USA	North America	California	blood	Homo sapiens	3	human
SAMN48849014	SRR33789546	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:11:00.000Z	2024-10						USA	North America	Midwest	sputum	Homo sapiens	3	human
SAMN43586024	SRR30637870	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T16:25:00.000Z	2024				UT-UPHL-CAU-2313		USA	North America	Mountain		Homo sapiens	3	human
SAMN46427477	SRR32137337	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-27T10:44:00.000Z	2023-11				MD-MDH-CAU-2400359		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48288155	SRR33405877	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:11:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_283		USA	North America		clinical	Homo sapiens	3	human
SAMN48349687	SRR33439125	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-05T18:24:00.000Z	2025			Fungal infection	2025CE-CAURIS_05_05_003		USA	North America		clinical	Homo sapiens	3	human
SAMN43830146	SRR30847404	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T21:28:00.000Z	2024			Fungal infection	2024CE_09_19_118		USA	North America		clinical	Homo sapiens	3	human
SAMN46924434	SRR32418512	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2025-02-20T16:19:00.000Z	2025-01				MN-MNPHL-CAU-250026		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN48585102	SRR33624023	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:50:00.000Z	2024-04						USA	North America	Midwest	peritoneal fluid	Homo sapiens	3	human
SAMN46897456	SRR32396335	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-19T10:27:00.000Z	2024-10				MD-MDH-CAU-2401196		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN39458127	SRR27560953	ILLUMINA	Illumina NovaSeq 6000	PRJNA1065312	Candidozyma auris	RNA-Seq	PAIRED	2024-01-16T11:11:00.000Z		WT			1133/P/13R					As reported: White form			
SAMN46845051	SRR32354191	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-14T17:12:00.000Z	2023-10				MD-MDH-CAU-2400299		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN46473533	SRR32166980	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-29T11:48:00.000Z	2023-12				MD-MDH-CAU-2400410		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43886679	SRR30768251	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-09-23T10:33:00.000Z	2024						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN45187167	SRR31616147	ILLUMINA	Illumina MiSeq	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-12-05T08:25:00.000Z	2024						USA	North America	Mountain	axilla	Homo sapiens	3	human
SAMN49444790	SRR34036469	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:53:00.000Z	2023				NV-WW-CAU-1123B69W		USA	North America	NV	environmental (wastewater)			
SAMN45233451	SRR31649552	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-12-09T15:43:00.000Z	2023-06				MD-MDH-CAU-2400133		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48793583	SRR33752160	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-05-29T16:36:00.000Z	2025				UT-UPHL-CAU-3284		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN46231715	SRR31979147	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2025-01-13T12:19:00.000Z	2024-12						USA	North America	Midwest	ostomy	Homo sapiens	3	human
SAMN48209811	SRR33381079	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_105		USA	North America		clinical	Homo sapiens	3	human
SAMN47516709	SRR32811383	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-21T16:27:00.000Z	2025				UT-UPHL-CAU-3086		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN43811776	SRR30710979	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-18T12:11:00.000Z	2024-08						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN43817391	SRR30844143	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T17:56:00.000Z	2024			Fungal infection	2024CE_09_18_136		USA	North America		clinical	Homo sapiens	3	human
SAMN48850587	SRR33808843	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:25:00.000Z	2025-02						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN43929741	SRR30799322	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-25T18:16:00.000Z	2024-04						USA	North America	Midwest	tracheal aspirate	Homo sapiens	3	human
SAMN49849201	SRR34428131	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2025-07-08T12:24:00.000Z	2025-05						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN45233464	SRR31649597	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-12-09T15:44:00.000Z	2023-07				MD-MDH-CAU-2400146		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN46845061	SRR32354239	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-14T17:12:00.000Z	2023-10				MD-MDH-CAU-2400329		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMN45990715	SRR31835877	ILLUMINA	Illumina MiSeq	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-12-26T17:37:00.000Z	2024-12				MN-MNPHL-CAU-240357		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN50015840	SRR34578114	ILLUMINA	NextSeq 500	PRJNA918317	Candidozyma auris	WGS	PAIRED	2025-07-18T08:06:00.000Z	2024	South Asian					USA	North America	Northeast	blood	Homo sapiens	3	human
SAMN43576413	['SRR30628996','SRR33417412']	ILLUMINA	Illumina MiniSeq	PRJNA1159488	Candidozyma auris	['WGS','AMPLICON']	['PAIRED','SINGLE']		2023			Candidemia	B231		IND	Asia	Faridabad	blood	Homo sapiens	3	human
SAMN44246143	SRR30946958	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T20:04:00.000Z	2024			Fungal infection	2024CE_09_19_816		USA	North America		clinical	Homo sapiens	3	human
SAMN47871318	SRR33066140	ILLUMINA	Illumina MiSeq	PRJNA1167312	Candidozyma auris	WGS	PAIRED	2025-04-10T10:42:00.000Z	2024				TN-SPHL-CAU-S0183		USA	North America	Southeast	urine	Homo sapiens	3	human
SAMN49918918	SRR34500011	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-07-11T16:31:00.000Z	2025						USA	North America	Mountain		Homo sapiens	3	human
SAMN44072385	SRR30893291	ILLUMINA	Illumina NovaSeq 6000	PRJNA1169348	Candidozyma auris	RNA-Seq	PAIRED	2024-10-05T13:55:00.000Z		1133/P/13R, White											
SAMN43830066	SRR30847324	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T21:27:00.000Z	2024			Fungal infection	2024CE_09_19_198		USA	North America		clinical	Homo sapiens	3	human
SAMN43817270	SRR30846360	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T19:35:00.000Z	2024			Fungal infection	2024CE_09_18_257		USA	North America		clinical	Homo sapiens	3	human
SAMN44260504	SRR30963044	DNBSEQ	DNBSEQ-T7	PRJNA1171956	Candidozyma auris	WGS	PAIRED	2024-10-12T01:00:00.000Z	2023				C5R		CHN	Asia		culture	Homo sapiens	3	human
SAMN44524240	SRR31185236	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-31T17:22:00.000Z	2023-10				MD-MDH-CAU-2300411		USA	North America	Mid-Atlantic	urine	Homo sapiens	3	human
SAMN45233469	SRR31649591	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-12-09T15:44:00.000Z	2023-08				MD-MDH-CAU-2400151		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN50015859	SRR34578130	ILLUMINA	NextSeq 500	PRJNA918317	Candidozyma auris	WGS	PAIRED	2025-07-18T08:06:00.000Z	2025	South Asian					USA	North America	Northeast	urine	Homo sapiens	3	human
SAMN48793585	SRR33752158	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-05-29T16:36:00.000Z	2025				UT-UPHL-CAU-3273		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN49444861	SRR34036454	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:54:00.000Z	2023				NV-WW-CAU-0324C114W		USA	North America	NV	environmental (wastewater)			
SAMN49444836	SRR34036322	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:50:00.000Z	2023				NV-WW-CAU-0324C7W		USA	North America	NV	environmental (wastewater)			
SAMN49827672	SRR34405900	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-07-07T16:47:00.000Z	2025				UT-UPHL-CAU-3309		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN48311189	SRR33413657	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-02T17:43:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_02_013		USA	North America		clinical	Homo sapiens	3	human
SAMN48270066	SRR33391947	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T22:22:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_235		USA	North America		clinical	Homo sapiens	3	human
SAMN45895600	SRR31765404	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-12-18T16:47:00.000Z	2024-11				MN-MNPHL-CAU-240334		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN48411054	SRR33502140	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:55:00.000Z	2023-11						USA	North America	Midwest	axilla	Homo sapiens	3	human
SAMN46792069	SRR32321493	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-02-12T12:39:00.000Z	2024				UT-UPHL-CAU-2784		USA	North America	Mountain		Homo sapiens	3	human
SAMN46901426	SRR32400871	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-19T15:46:00.000Z	2024-04				MD-MDH-CAU-2400710		USA	North America	Mid-Atlantic	urine	Homo sapiens	3	human
SAMN48209728	SRR33381096	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_188		USA	North America		clinical	Homo sapiens	3	human
SAMN48850646	SRR33808777	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:25:00.000Z	2025-03						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN46558717	SRR32236929	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-05T09:15:00.000Z	2024-04				MD-MDH-CAU-2400679		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44245674	SRR30946522	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T18:55:00.000Z	2024			Fungal infection	2024CE_09_19_731		USA	North America		clinical	Homo sapiens	3	human
SAMN44512053	SRR31173137	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-10-30T16:03:00.000Z	2024						USA	North America	Mountain	wound	Homo sapiens	3	human
SAMN49444970	SRR34036269	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:50:00.000Z	2023				NV-WW-CAU-0124B27W		USA	North America	NV	environmental (wastewater)			
SAMN44336568	SRR31032636	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-10-17T15:14:00.000Z	2024				UT-UPHL-CAU-2406		USA	North America	Mountain		Homo sapiens	3	human
SAMN45878108	SRR31752252	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-12-17T17:40:00.000Z	2024-11						USA	North America	Midwest	leg	Homo sapiens	3	human
SAMN45685051	SRR31678956	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-12-11T11:11:00.000Z	2024-11						USA	North America	Midwest	wound	Homo sapiens	3	human
SAMN44245432	SRR30946403	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T18:23:00.000Z	2024			Fungal infection	2024CE_09_19_695		USA	North America		clinical	Homo sapiens	3	human
SAMN48270147	SRR33392060	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T22:29:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_154		USA	North America		clinical	Homo sapiens	3	human
SAMN43811779	SRR30710976	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-18T12:10:00.000Z	2024-08						USA	North America	Midwest	catheter	Homo sapiens	3	human
SAMN48490470	SRR33562601	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-05-14T13:08:00.000Z	2025-03				MD-MDH-CAU-2500258		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMN48441311	SRR33531283	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2023-02						USA	North America	Midwest	axilla	Homo sapiens	3	human
SAMN44383692	SRR31075311	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-10-22T18:15:00.000Z	2024-09				MN-MNPHL-CAU-240257		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN47132488	SRR32515456	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T14:19:00.000Z	2024-12				MD-MDH-CAU-2500035		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN46439253	SRR32156466	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-01-28T16:30:00.000Z	2024				UT-UPHL-CAU-2780		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN48931516	SRR33858623	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:17:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN46438515	SRR32154574	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-01-28T15:07:00.000Z	2024						USA	North America	Mountain	wound	Homo sapiens	3	human
SAMN48349219	SRR33438426	ILLUMINA	NextSeq 1000	PRJNA918317	Candidozyma auris	WGS	PAIRED	2025-05-05T17:47:00.000Z	2017	South Asian					USA	North America	Northeast	groin	Homo sapiens	3	human
SAMN45990716	SRR31835876	ILLUMINA	Illumina MiSeq	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-12-26T17:36:00.000Z	2024-11				MN-MNPHL-CAU-240358		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN46364829	SRR32078588	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T11:14:00.000Z	2023-10				MD-MDH-CAU-2400306		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48850581	SRR33808850	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:26:00.000Z	2025-03						USA	North America	Midwest	axilla	Homo sapiens	3	human
SAMN44256794	SRR30953918	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-10-11T16:10:00.000Z	2024						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
